プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,旅人ニコラス,狂人,ｽﾞｻ━━━━⊂(ﾟДﾟ⊂⌒｀つ≡≡≡━━━━!!
プロローグ,羊飼いカタリナ,占い師,人狼なんて、いるわけないじゃないですか。
プロローグ,木こりトーマス,村人,へいへいほー
プロローグ,シスターフリーデル,人狼,人狼なんかいるはずないじゃん。
プロローグ,旅人ニコラス,狂人,とりあえず席確保♪一服してこよう・・・( ´ー｀)y-~~
プロローグ,少年ペーター,霊能者,人狼？そんなのいるわけないね！
プロローグ,パン屋オットー,村人,みなさん、ヨロシク！パン屋のオットーです美味しいパンができたよ[村勝利祈願　カツサンド][人狼勝利祈願　白狼王印アンパン][俺の塩　焼きそばパン]みんなで食べてね！
プロローグ,老人モーリッツ,村人,ばあさんはどこじゃ。
プロローグ,司書クララ,村人,か、活字萌えーーー！！
プロローグ,青年ヨアヒム,人狼,寝ぼけながら、宜しくです席確保
プロローグ,村娘パメラ,村人,よろしくお願いします席確保。
プロローグ,行商人アルビン,村人,ヤッホーいい月夜だねー！やっと着いたよ
プロローグ,ならず者ディーター,村人,人狼なんて、いるわけないだろっ
プロローグ,司書クララ,村人,とりあえず隣村からぎだいをかりてきました。■1．コアタイム■2.仮/本決定の希望時間■3.やりたいこと/やりたくないこと■4.自己紹介
プロローグ,神父ジムゾン,村人,素数を数えて落ち着くんだ1,3,5,7・・・
プロローグ,行商人アルビン,村人,>>8ありがとう〜でもコロッケパン食べたいよ♪
プロローグ,負傷兵シモン,人狼,なんとかこれた
プロローグ,木こりトーマス,村人,木を倒したらこんなんでてきたわ木を倒したらこんなもんがでてきたわ■1.コアタイム■2.仮/本決定の希望時間■3.やりたいこと/やりたくないこと■4.自己紹介
プロローグ,木こりトーマス,村人,すまん。なんかクララとダブってるし、発言も変なことなってるし。いきなりへこんだ。。。(-_-､)
プロローグ,旅人ニコラス,狂人,>>8つまみありがとね！カツサンドいただくよー>>15　議題ありがと！■1. 19:00-24:00くらい■2. 仮21:15　本21:45　かな■3. コミュニケーションを楽しみたいよ！流行病は避けたいなぁ■4. お酒おいとくね！っ[ビール][日本酒][焼酎]
プロローグ,シスターフリーデル,人狼,みなさんよろしくお願いしますわ。というわけで早速議題回答。■1.基本的に夜行性です。昼間はちょこちょこ覗く程度かな。■2.仮21:30／本22:00■3.みんなで楽しめればいいと思います／他の人に迷惑は掛けたくないわね■4.希望の村でみなさんに希望を与えるシスターです。私のような聖職者が人狼なわけないじゃない。
プロローグ,羊飼いカタリナ,占い師,集まりが速すぎじゃありませんか？□1. 19:00-23:00□2. 仮21:15/本21:45□3. 突然死、自吊り希望はぜっっっったいに許しません。この杖でぶちますよ？□4. 羊飼いカタリナです。羊がたまに居なくなります。困ったものです。>>16 神素数は2,3,5,7です。
プロローグ,司書クララ,村人,オットーさんありがとうございます。甘党なのであんパンいただきますね。わおーん。トーマスさん＞大事なことなので2回言ったのですね、わかります。せっかくなのでおつまみどうぞ！　つ[カルパス][あたりめ][チーかま]
プロローグ,青年ヨアヒム,人狼,>>15■1.22:00~24:30■2.仮は前日24時位に出しておきます　飛び込みギリギリで本22:00■3.引っ掻き回されるの大好きですｗ　失礼な態度はのーさんきゅーかなぁ■4.･･･ガム噛むかい？
プロローグ,司書クララ,村人,そして議題セルフ解答■1.20時～24：30　昼は鳩さんから報告を受ける程度です■2.仮21時/本21：30■3.楽しくやりたいですね。突然死は避けたいです。■4.本好きですが推理小説は最後から読む派です。いいんです…司書は本を探せればいいんです…
プロローグ,村娘パメラ,村人,クララ、議題ありがとう。□1.21:00～23:30位　＋不定期□2.21:15/21:45　（みなさんに合わせます）□3.寡黙にならないようにがんばる。　　突然死はダメね。□4.パメラよ。よろしくね。
プロローグ,行商人アルビン,村人,議題ありがとう！■1.コアタイム21-24位 更新時■2.仮/本決定の希望時間21:15/21:45■3.やりたいこと/やりたくないこと勝負事だけど、楽しみながら最後まで参加していきたいよ〜♪■4.自己紹介何か欲しいものあれば言ってねー裏メニューあるよ♪
プロローグ,木こりトーマス,村人,□1.コアタイムメイン：20:00～21:00　昼間はちょいのぞいたり、短文お返事中心□2.仮/本決定の希望時間21:30/22:00□3.やりたいこと/やりたくないこととりあえず戦いたい。寡黙、凸死はいややなあ。□4.自己紹介脳筋なんでどこまで役にたてるかわからへんけど、がんばらせてもらいます。いざとなれば人狼の頭を斧でカブト割りするんで、助けを呼んだってやあ
プロローグ,司書クララ,村人,鳩さんテスト…………あんまり見えません(>_<)お手紙持っていってくれますかね？
プロローグ,村長ヴァルター,狩人,こんにちは。とりあえず席確保。
プロローグ,パン屋オットー,村人,>>17　アルさんコロッケパンどうぞ、おかわりあるからね！>>21　ニコさん[村勝利祈願　カツサンド]美味しいから、いっぱい食べてねニコさん、ビール貰うよ！>>24　ララちゃんあんパン、どうぞビールのおつまみに、あたりめを貰うよ！
プロローグ,旅人ニコラス,狂人,僕も鳩テストしとこ...書>>24おつまみありがと！狼なんているわけないし、お酒飲むよ！宴会大スキーでも今日はそろそろ寝なきゃ。黄金期には夜更かし出来る予定だよーお休みzzz
プロローグ,パン屋オットー,村人,■1.　（休日を除き）20:30～24:00■2.　仮21:15、本21:45■3.　勝利よりも楽しくできることが優先ですみなさん、不愉快な暴言はやめましょうね■4.　毎日、美味しいパンを焼くからね～みんなで楽しくやりましょう！！
プロローグ,ならず者ディーター,村人,>>15　議題だな！■1. 21:00-26:00　だな■2. 仮21:30　本22:00　まぁ村の都合にあわせるぜ■3. 女が人狼な訳ないよな、まぁ楽しもうぜ！■4. 俺は焼酎をもらっとくぜ！今夜は月が奇麗だな
プロローグ,シスターフリーデル,人狼,さて、メンバーが揃った所で明日は朝が早いので、私はそろそろ休ませていただくわ。>>32朝ごはんにフレンチトーストを焼いていただけないかしら。そのかわり、お礼に何かほしいものがあれば言ってくださいね。
プロローグ,青年ヨアヒム,人狼,オレも伝書鳩test
プロローグ,神父ジムゾン,村人,議題に感謝。□1.20時～22時過ぎ。□2.仮・本→22時・22時半□3.やりたい事は何より楽しむ。やりたくない事は、喋りすぎての息切れですね。□4.死ぬことは、神の元へと戻る事なのです、恐れることはありません。告白したい罪などがあれば私にご相談あれ。実は狼という方もお待ちしておりますよ(ﾆｺｯ>>23 羊早速の申し立てありがとうございます。強い味方になっていただきたいものです。
プロローグ,行商人アルビン,村人,>>21僕はね熱燗を頂くよ～つまみに誰か、あんきもお願いできないかな♪発言多くて追いつくの大変だあー宴会大好きさぁ♪二日酔いの薬が必要だったら言ってねー
プロローグ,村娘パメラ,村人,私も今日は休ませてもらうわね。みなさん、明日からよろしくね。楽しみましょ！ではおやすみなさい。
プロローグ,少年ペーター,霊能者,>>8  わぁい！パン屋さんありがとう！僕はカツサンドもらうね！>>15  議題ありがとう！■1.だいたい夜かなー！■2.21:15/21:45■3.みんなで最後は楽しかった！って終わりたいな！■4.僕はペーター！みんなよろしくね！
プロローグ,木こりトーマス,村人,>>0038 おっと、神父さん。本決定がその時間やと次の日になってまうで。
プロローグ,司書クララ,村人,鳩さんは無事役目を果たしてくれたみたいですね、よかった。最近流行りの頭の良い子じゃないから、たくさんお手紙があるとどうなるかわかりませんが…もたもた入力(携帯の入力は苦手です)している間にメンバーが揃ったみたいですね。明日も早くから書架の整理に励まなければいけませんので、これにてお休みさせていただきますね。皆様おやすみなさい。
プロローグ,羊飼いカタリナ,占い師,そろそろ羊を数えてきます。楽しくepで話せるように、1週間お願いします。わたしには2匹の護衛羊が付いていますので、変な真似はしない方がいいですよ？（くすっ>>38 神たびたびすみませんが、決定時間、見直してくださいね。
プロローグ,ならず者ディーター,村人,返答は　□　だったみたいだ・・・けっしてニコラスの発言を真似して言ったんじゃないぞ？ほんとだぞ！？焼酎うまいな
プロローグ,負傷兵シモン,人狼,ようやくたどり着いた村で人狼騒ぎだと！ここにも人外がいるのか、ふぅ、まあとりあえずメシだ。>>8カツサンドにアンパンに焼きそばパンか、全部もらおうか。食事しながらですまんが議題とやらに答えよう。□1.21:00～24:00□2.21:15/21:45□3.平和的な人狼騒ぎの解決/感情的な罵り合い□4.兵士のシモンだ。怪我の為、戦力にはならん。そういえば【ダムに居た人狼】見たぞ。
プロローグ,神父ジムゾン,村人,>>42　樵　>>44　羊ははは、これはまた失礼をｗ□2.仮21時15分・本21時45分ですね。私自身、礼拝が足りてないようです。本日中はどうかお許しをｗ
プロローグ,青年ヨアヒム,人狼,人狼に食われるくらいならいっそ石でできた仮面でも被って・・・さて、明日に備えて寝るとしましょう今日は一先ずお先におやすみなさ・・・ぐぅ
プロローグ,老人モーリッツ,村人,じじいの夜はこれからじゃね。とりあえず古から伝わる古文書を貼るのじゃ。■：議題　□：任意／ネタ議題●：占い第一希望　○：占い第二希望▼：処刑第一希望　▽：処刑第二希望　（処刑＝吊り）★：質問　☆：★に対する回答　＠数字：残発言数　（発言数＝喉）CO（カミングアウト）：能力者が自分の役を宣言することを指し、転じて他の人に自分の何かを明かす事も指す
プロローグ,老人モーリッツ,村人,たぶん議題への回答も■でよさそうじゃから、ならず者は間違ってなさそうじゃ。まあわかればどっちでもいいのじゃ。若者が集まってまさに希望の村じゃね。それはそうと、ばあさんはどこじゃ。
プロローグ,老人モーリッツ,村人,回答じゃ。■1.ランダムじゃけど、これくらいの時間は寝てなければ空いているのじゃ。■2.若い者にまかせるのじゃ。■3.希望にあふれた村にしたいのじゃ。■4.ばあさんはどこじゃ。
プロローグ,青年ヨアヒム,人狼,ともあれ　▼　と　▽　と　●　さえ間違えなければ基本は。。。・・・間違えたらごめーんｗ
プロローグ,羊飼いカタリナ,占い師,>>46 兵【ダムにいた人狼】というのは、【DAMでカラオケをしていた人狼】ですか？
プロローグ,ならず者ディーター,村人,>>50  老そうだったのか、勘違いしてたみたいだじぃさんありがとな少し酒がまわったみたいだ、散歩がてらばあさんでも探してみるかな
プロローグ,老人モーリッツ,村人,>>54者礼には及ばんのじゃ。ばあさん探してくれるならんて、いいならず者じゃ。村人に違いない。狼だとしたら、訓練されたならず者じゃな。>>52青そのとおりじゃな。つうか、わし色々間違えそうじゃ。。誰かが間違えても許しあって楽しめる村にしたいもんじゃな。お主は石仮面かぶってるから、吸血鬼、、、なんてこの村にはいないから狼じゃな。
