プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,負傷兵シモン,狩人,みんなおおげさだなぁ
プロローグ,村長ヴァルター,村人,おおげさ
プロローグ,行商人アルビン,村人,わおーん！人狼なんているわけないよー。大げさだなー
プロローグ,行商人アルビン,村人,行商で立ち寄った村にあったチラシをはっておくよー。■1.参加時間（コアタイム）■2.仮決定／本決定時間の希望■3.何かやってみたい作戦とか□4.断崖で叫びたいこと僕はごはん食べたら答えるよー
プロローグ,負傷兵シモン,狩人,■1.昼は鳩で発言見るくらいか。更新時間まわりから深夜にかけては起きてられる間頑張る。■2.21:00/22:30　くらいでいいんじゃないか。■3.今のところ特にない。□4.うおおおおおおおおおおおお!!クララ愛してるぞおおおおおおおおお!!!!!!
プロローグ,村長ヴァルター,村人,■1.朝→◎　昼→×　夕→△　夜→○　深夜→×■2.仮→21:15 本→22:15■3.遺言CO□4.町にするため、人口50人アップを希望する！
プロローグ,青年ヨアヒム,狂人,おおげさだよねっ！
プロローグ,行商人アルビン,村人,ヨアヒムいらっしゃい～この宿の厨房って誰もいないんだね・・・。しょうがないから今日仕入れた卵でスクランブルエッグ作ったよ。シモン！村長！ヨアヒム！一緒に食べない？具はねー、その辺の山から採ってきた野草とキノコだよ。このキノコぼんやり光ってきれいだよねー。
プロローグ,神父ジムゾン,人狼,こんばんは、24時間いつでもオープン！コンビニ「スマイルマート」店員、ジムゾンです。・・・・クリスマスなんて、だいっきらいだ。
プロローグ,神父ジムゾン,人狼,■1.17時～24時とか、朝とか。深夜は無理です。■2.21時と22時半とか？■3.特にないですよ。□4.クリスマス？何それ？食えんの？
プロローグ,行商人アルビン,村人,■1.遅くても20時位までには宿に戻るよ。仕入れがあるから0時過ぎたらきっと寝ちゃう。昼間は不定期。■2.仮決定22：00／本決定22：30■3.う～ん、全員で占COとか？□4.シモンの叫びがうらやましい。僕も彼女ほしいいいいいい！！！！！！
プロローグ,神父ジムゾン,人狼,男だらけの村ですね、やあこれは素敵だ。いやー男だけでいいんですよ、この世は。ましてや、クリスマスなんてもの、この世にいりますか？いやいりませんって、あんなもの。男と女が街角のあちこちでイチャイチャしてるなんてほんとこんなおかしなことないですよ。だから何度も言いますがぼくは、ぼくは、ぼく、ぼ・・・クリスマスなんて・・・ばかぁあああああああっ！
プロローグ,神父ジムゾン,人狼,・・・はぁはぁ、ちょっとなんだか取り乱してしまったようです。ぼくときたら。ちょっと、明日発売の雑誌の棚出し行ってきますね。皆様、また後ほど。はぁはぁ・・・。
プロローグ,青年ヨアヒム,狂人,はっ！寝てしまっていた･･･みんな挨拶おくれてごめんね。こんばんは。アルビンのスクランブルエッグいただきます！！う、このキノコは･･･
プロローグ,ならず者ディーター,村人,よう!人狼なんているわけがないだろう大げさだなぁ。
プロローグ,ならず者ディーター,村人,■17時～25時くらいだな。■21時30分/22時30分■初日FOなんか□クリスマスなんてあるわけないじゃん大げさだなぁ
プロローグ,神父ジムゾン,人狼,棚出し終わりました。今週発売の雑誌はどれもこれも表紙の人間が皆赤い帽子をかぶってるんですが、あれは何のつもりでしょうね。還暦って年じゃなさそうでしたよ。まさかクリスｍ・・・はぁ、嫌いだ嫌いだこんな季節。アルビンさんエッグいただきます。お？なんだかお腹がペカペカ光ってきましたよ！？ディーターさん、やっぱり貴方もクリスマスなんてないと思いますか？気が合いますね。
プロローグ,行商人アルビン,村人,ジムゾン、ディーターもいらっしゃい～。ジムゾンは棚出しお疲れ様～。雑誌の表紙はねー、たぶん赤い帽子がはやってるだけだよ！ん？ヨアヒム顔色悪いよー。どうした？
