プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,木こりトーマス,占い師,ぴらりらぴらりらトマトマり～んっ☆愛と正義の魔法少女、トマりんの参上なのらっ♪
プロローグ,木こりトーマス,占い師,わるぅ～い狼さんは私のトマ・トマホークステッキでぴらりらり～ん☆だぞッ♪あぁ、今日も私って可愛いの♪ほらっこんなにパッチリしたお目目……［....は手鏡を取り出し、のぞき込んだ］
プロローグ,木こりトーマス,占い師,ってぇ、なんじゃこりゃああああああああああああああ！！！おじさんになってるぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅっ！！！
プロローグ,負傷兵シモン,狂人,ぴらりらぴらりらシモシモり～んっ☆愛と正義の魔法少女、シモりんの参上なのらっ♪
プロローグ,負傷兵シモン,狂人,あら不審者みたいなおじさんがいるわね。それに比べて、今日も私ってなんて可愛いの♪ほらっこんなにパッチリしたお目目……［....は手鏡を取り出し、のぞき込んだ］
プロローグ,負傷兵シモン,狂人,ってぇ、なんじゃこりゃああああああああああああああ！！！とてつもなくえげつないイケメンのお兄さんになってるぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅっ！！！
プロローグ,木こりトーマス,占い師,？「トマりん！トマりん！大変だっ！お前、変身魔法が暴走して、おっさんになってるぞっ！！」トマ「あ、私の使い魔【木の精霊・カッフン】君！」カッフン「これはきっと狼が発生させると言う、アンチマジック！狼を退治するしかないぞっ！！」トマ「えぇ～！それってどうするのぉ？私、おじさんのままとか嫌なの…ぐすん」カッフン「心配するな。先人たちが残した狼の倒し方という、指南書がここにあるぞっ！」
プロローグ,木こりトーマス,占い師,指南書→http://wolfbbs.jp/FrontPage.htmlこれをまず読んで欲しい。だいたいの疑問は解決するはずだ。特筆すべきは【初参加ＣＯはダメ】という事だな。これは基本だ。後、【突然死もダメ絶対】同村者に多大なる迷惑をかけてしまうからな。【役職希望の話も駄目だ。】メタ推理、っていうのの材料になってしまうんだ。気を付けてくれ。
プロローグ,木こりトーマス,占い師,【この村の夜明けは01：１５だ】これも気を付けてくれ。トマ「うん、解った！私、元の可愛いおめめパッチリな魔法少女になるためにがんばる！」カッフン「その意気だぞ！トマりん！さぁ、一緒に狼を退治しよう！」
プロローグ,木こりトーマス,占い師,あ！もしかして、シモりんじゃないのっ！シモりんも男の人の姿に！？これは一大事なの！一緒に狼を退治しなきゃ元の姿に戻れないみたいなのっ！……でも、すごく……イケメン……ちょっと…イイカモ…ぽっ
プロローグ,木こりトーマス,占い師,カッフン「トマりん！魔法王国からこんなものが届いたぞ！まずはコレに答えるんだっ！」■1.宿に居れる主な時間■2.本決定、仮決定の希望時間■3.投票CO等の可否、その他やってみたい事、やりたくない事（戦術論になっちゃ駄目だよ）□4.得意な魔法
プロローグ,羊飼いカタリナ,人狼,こんばんは、ですの。
プロローグ,負傷兵シモン,狂人,えっもしかしてトマりん！？何その毛？もじゃもじゃペーター並よ。( ；´Д｀)いやぁぁぁぁぁー!
プロローグ,木こりトーマス,占い師,■1.魔女っ子の活動時間は不定期なのっ！■2.仮23.5、本00.5時がいい感じだと思うの。■3.投票COにこだわりは無いよ！特にやりたい事というのも無いの。皆の意見にあわせるのっ！□4.皆をメロメロにしちゃう【メロメロとまとま～ん】が特異なの！キラッ☆今日もみぃ～んなにメロメロとまとま～ん☆
プロローグ,羊飼いカタリナ,人狼,■1. 夜しかこれないの。■2. 仮23:00 本24:00 を希望するの。■3. 投票COが嫌いな人に、投票COを強制するのは嫌なの。ちなみに、私は、投票COはOKなの。後、できればだけど、【最終日、人狂狼の構成となった場合のみ、狂人の自殺票を禁じる】を、この村のローカルルールとしたいの。
プロローグ,木こりトーマス,占い師,兵>>14毛……？いやああああああああー！私、こんなにもじゃもじゃになってるぅ……ぐすん。シモりんはいいなぁ……そんなにイケメンで……私みたいにガチムチしてないし、程よく細マッチョなの……目、目のやり場に困っちゃう/////
プロローグ,旅人ニコラス,狩人,ふぅ、ここが希望のむ･･･ら･･･？(つд⊂)ｺﾞｼｺﾞｼ(　ﾟдﾟ)
プロローグ,負傷兵シモン,狂人,■1.深夜ですわよ。■2.仮23:00 本24:00を希望するわよ。■3.投票COは反対なのよ。それとカタリナの意見にも賛成はできないわね。むしろ反対ですわよ。□4.私が一瞬でツンデレ化しちゃう【つんつんしもしもーん】が一番上手いかしらね。
プロローグ,旅人ニコラス,狩人,■1.基本よる■2.　仮23：30　本24：30■3.おまかせ□4.得意なのは野宿です、旅人は辛いよ。
プロローグ,宿屋の女主人レジーナ,村人,ぴらりらぴらりらレジレジり～んっ☆愛と正義の魔法少女、レジりんの参上なのらっ♪・・・かどのたくぞうじゃねーよ！！
プロローグ,羊飼いカタリナ,人狼,【F国経験者は、共有者がいないことや、編成が変化したことに注意して欲しいの】時々まとめ希望に共有者と書いたりすると、G国初参加？と勘繰ってしまうの。メタの可能性があるので、気をつけ欲しいの。□4. 杖を振るってみたの。白羊さんが黒羊さんに、白羊さんが黒羊さんに……。ねぇ、トマりん、どうすればいい？
