プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,パン屋オットー,村人,僕は幻のパン屋だよ。秘境少数限定即完売とかそういう意味じゃないよ。パンを焼かないから幻のパン。パンを焼かないから幻のパン屋なんだ。
プロローグ,シスターフリーデル,人狼,私は幻の修道女。秘境少人数限定聖別とかそのような意味では御座いませんわ。神に祈らないから幻の修道女。寧ろ髪を冒涜するから幻の修道女(…はジムゾンのカツラを天に向かって放り投げた)
プロローグ,シスターフリーデル,人狼,皆さんいらっしゃい、+1145148101919の村
プロローグ,羊飼いカタリナ,村人,いらっしゃい〜羊飼いカタリナの放牧カフェにようこそぉ。当店自慢のメニューは、アイスティーですよぉ おひとついかがですか〜？
プロローグ,シスターフリーデル,人狼,髪は死んだ！！(毛根死滅
プロローグ,シスターフリーデル,人狼,あなたの髪は3日後に復活するでしょう(Amazon購入
プロローグ,羊飼いカタリナ,村人,髪の毛はお急ぎ便で届けて貰わないと…
プロローグ,羊飼いカタリナ,村人,( 刈り取ったふさふさの羊毛をカツラ代わりに用意。なお、白髪 )
プロローグ,羊飼いカタリナ,村人,( 人が来てくれると嬉しいのでカタリナをもふりに来てくれても構わないんですよ の構え。もふもふり )
プロローグ,パン屋オットー,村人,髪なんて幻想だよ(意味深)
プロローグ,パン屋オットー,村人,アイスティーのお供に幻のパンはどうだい？(空の皿を見せる)
プロローグ,羊飼いカタリナ,村人,はっ……それじゃあアイスティーも幻にしちゃう…？空のカップとお皿並べて話し合う村っていうのもシュールすぎると思うけど〜
プロローグ,羊飼いカタリナ,村人,ちょ〜っとだけこういうお話もしておくね。リナはコアタイム概ね20:00〜0:00(途中不在時間有)かなぁ。日によって少しだけバラツキがあるけどねぇ？もし大きく変わりそうな時は事前にお知らせするね。あと、少なくとも仮決定は夜のうちにお願いしたいなぁ。平日は絶対7時前に起きてるけど、休日は〜……その がん、ばる、ねぇ。こんな感じかなぁ？他にお話しして欲しいことがあれば他の人に乗っかっちゃう感
プロローグ,羊飼いカタリナ,村人,じだよ〜(※途中で切れてた羊飼い)
プロローグ,パン屋オットー,村人,更新立ち合いは強制したくないな。僕も寝坊しないとも言えない。朝更新村だしそのへんはゆるっといきたいね。
プロローグ,パン屋オットー,村人,僕のコアタイムは21:30〜0:00かな。昼も不定期だけど顔を出せるよ。朝は起きてるけど決定や結果の確認程度だと思う。パン屋の朝は忙しいんだ。パンの仕込みとかは特にしてないけど、洗面や洗濯や朝食や掃除と、やることは山積みだからね。
プロローグ,羊飼いカタリナ,村人,リナも、開店前にお店のお掃除とか、今日は何の茶葉で淹れようかなぁとか考えてるの。……羊さんは良い子だから勝手にお外に出てくれるんだよ〜
プロローグ,シスターフリーデル,人狼,コアタイムは02:00〜早朝、お昼かな？あ、因みに8/5〜8/10迄は前倒しのお盆休みなので、余程のことがない限り終日freeなのでーす
プロローグ,神父ジムゾン,人狼,幻の神父、ジムゾンです。さぁ皆さん、私と一緒に幻のカミに祈りましょう。幻の神などいない？そんなことはありません。幻の神は信じる者にしか見えないだけなのです。この村と同じように…。
プロローグ,神父ジムゾン,人狼,あ…カタリナさん！それ…私のカミです。狩らないでください…あぁ…。
プロローグ,シスターフリーデル,人狼,アヒャヒャヒャヒャ！！！
プロローグ,少年ペーター,占い師,ぽっぽ
プロローグ,少年ペーター,占い師,やぁみんな毎朝ギリギリに起きて村の学校に行く生活を改善したくてお邪魔したよ夏休みなんて幻だよね、強制プールタイムがあるんだ更新時間の立ち会いはふと目が覚めなければほぼできないと言っていいレベルだから先に謝っとくコアタイムは不定期、リデルさんのコア的に僕入らないほうがいいかと思ったけど村が始まるときはfreeみたいだし、夜のうちに仮（本）決定させてもらえそうだから遊びにきちゃった
プロローグ,少年ペーター,占い師,毎朝アイスティーだけを幻のパンとともにいただくわびしい朝食、この村にはぴったりかもしれないね…。Ah...神父様、どうかお恵みを
プロローグ,羊飼いカタリナ,村人,ギュイイイイイイイイイン(バリカンを持って登場)
プロローグ,パン屋オットー,村人,一応確認するけど羊の毛刈り用だよね、そのバリカン？
プロローグ,シスターフリーデル,人狼,ギャギャギャリィィィイイインンッッ！！！(直径80cmはあろうかという大きさのディスクカッター状のバリカンを持って登場
プロローグ,パン屋オットー,村人,深夜組もよろしくね。いろいろと今日始まると嬉しいところ。今日の朝食は幻のパンで作ったクロックマダムだよ。(ハムエッグを頬張っている)
プロローグ,シスターフリーデル,人狼,
