プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,神父ジムゾン,霊能者,人狼ですか。まぁ心配ないでしょ。ここにはこの私がいるのですからね。おやおや、神のお告げがあるようですよ。神は言っております。この議題に事えろと。■⒈コアタイム■⒉決定時間■⒊やりたいこと/やりたくないこと■⒋自己紹介
プロローグ,神父ジムゾン,霊能者,私も回答しときますね。■⒈不定期ですね。まぁ夜でしょうか。■⒉お任せ。通常でしたら仮1時間前/本30分前でしょうか。■⒊楽しくいきたいですね。/凸死ダメ、絶対に。■⒋みんなに愛されるジムソンです。よろしくお願いしますね。さて、近頃寒くなってまいりました。皆さんいるかいないかわからない人狼騒ぎより気温変化で体調など崩さないようにお気をつけを。
プロローグ,神父ジムゾン,霊能者,あ、皆さんに質問ですよ。★暑いのと寒いのどっちが嫌ですかね？私は暑いのは嫌ですね。暑いと頭がむれ・・・と。　え——寒いのはたくさん着込めば我慢できますが暑いのは脱ぐのに限度がありますからね。だから暑い方が嫌なのですよ。
プロローグ,村長ヴァルター,狩人,おはよう諸君。私がこの僻地の村の村長、ヴァルターであーる。(cv若本)
プロローグ,村長ヴァルター,狩人,■⒈22時半頃から本気出す■⒉仮1時間前/本30分前■⒊ジムゾンに追従しておこう。■⒋改めてもう一度私がこの僻地の村の村長、ヴァルターであーる。(cv若本)諸君と言ってみたものの、まだゲルゾンしかいなかった。他の皆も早く来るといいね。
プロローグ,村長ヴァルター,狩人,仮1時間前というと23時15分か。厳しい闘いになりそうだ。☆>>4私は寒い方が苦手だな。私の場合、暑い分には脱げば大体どうにでもなる。気温も懐も寒くない方が良いし、懐も心も貧しくはなりたくないものである(cv若本)
プロローグ,少女リーザ,村人,あたちも大きくなったらそんちょになるんだ。
プロローグ,少女リーザ,村人,にょきっ(・ω・´) ■⒈不定期になるでちでちから、コアタイムも参加困難になることもあるでち■⒉決定時間１１：３０までには決めるでち。 
プロローグ,少女リーザ,村人,■⒊かりうどの１にち目にかみんぐあうとするでしぜんいんかりゅうどかみんぐあうとすることによって、おおかみをさくらんさせる作戦でしやりたくないこととうひょうによってのかみんぐうとでし
プロローグ,少年ペーター,人狼,席だけ確保させてもらおうかなー^^
プロローグ,パン屋オットー,村人,みんなこんにちは。あなたの村のパン屋さん、オットーベーカリーだよ。お近づきのしるしに、オットー特製パンをどうぞ。つ[ショパン][フライパン][アルセーヌルパン]
プロローグ,少女リーザ,村人,審判、戦犯、運搬、出版、１班、十班すぐ浮かぶのだけでも、以外と多いでし。そのほかにも残飯、脱藩、折半このぐらいでしか
プロローグ,神父ジムゾン,霊能者,人が増えてますね。まだまだ足りませんが。>>7長そうですね。心と懐は温かい方がいいですね。>>12屋そ、それは食べれませんね。ほんとにパン屋なのか疑問に思います。占いたいとこですね。>>13妙かわいい女の子がいきなり何かと思ったらパンシリーズですね。かわいい女の子と思えない単語がありますね。ここも幼女偽装でしょうか。占あり枠ですね。
プロローグ,少女リーザ,村人,リーザ占い好きでし幼女じゃなくて少女でし。５才でし。リーザの小さいけど、１人だけ、おおかみが襲うのとめられるでし。ママに習ったの。おおかみの弱点をりようして巧みにやるでし。じむぞんは食べられてももんだいないからまもってあげないでし。 
プロローグ,仕立て屋エルナ,村人,じゃあなんかもうみんな全裸で過ごそうよ！(全裸)■1.夜は来れるけど24:30過ぎた辺りからすぐ落ちちゃうかも■2.1h前/30m前■3.合わせるよー■4.少人数村になりそうな気しかしない。楽しみー
プロローグ,神父ジムゾン,霊能者,>>15妙ハハハ、私は自分の身は自分で守れるのでご心配なく。そうです少女ですね。飴ちゃんあげるから許してね。>>16服服屋がその提案はどうなんでしょうか。私個人としては全裸より多少布面積がある方が燃えるのですがね。まともや職業偽装疑惑が占い師の仕事が多そうで大変ですね。少人数より大人数のほうが好きですね。もっとかわいい娘さん方に大いに来てもらいたいものです。
