プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,少年ペーター,占い師,ゲルトさんこんばんはー。…いいなあ、ゲルトさんはポジティブで。でも、皆を宿に集めて会議するって、結構おおごとだと思うんです。人狼……本当に居たらどうしよう。ぐすっ。仲の良い子がもしそうだったら……ぐすっ、えぐ。[...は早くも涙目だ]…ところで些細な事だけど、時々見かける[...行動]の、...って何なんだろ。普通に名前を入れたらいいと思いませんか？[少年 ペーターは名簿を見た]
プロローグ,少年ペーター,占い師,……！　…！！　Σうぇっ、あれ、僕…少年？　ち、違うよ。こんな髪してるから時々間違われるけど、僕男の子じゃないよ。お母さんが、ボーイッシュな女の子が好きだから髪とか名前とかorz自分でも、僕とか言ってるけど、でもだって、この名前で「わたし」とか言うの恥ずかしいし…。あー僕もリザちゃんみたいな可愛い名前が良かった。
プロローグ,少年ペーター,占い師,僕ね、図書館で人狼についての本を色々読んで勉強してたんだよ。まずね、会議を始める前にこういう事を聞いといた方がいいんだって。[...は食堂の大テーブルの上に手書きのアンケート用紙を置いた]■１．宿に顔を出せる時間を教えてください■２．希望の仮決定時刻／本決定時刻を教えてください■３．投票COや個人戦など、好みの分かれる作戦について意見をください□４．スペースが余りました。何でも書いてね。
プロローグ,少年ペーター,占い師,メモを書き溜めてたらお腹空いちゃった。晩ご飯のお手伝いしてこよーっと♪
プロローグ,少年ペーター,占い師,まだ誰も来てないんだねー。今日の晩ご飯のメインは、鶏肉のオーブントースター焼きらしいよっ。■１．夜の22時〜25時くらいが一番顔を出せます。■２．仮23時半／本24時半■３．投票COはあんまり好きじゃないけど…やりたい人が多ければ僕もやります。個人戦は反対。色んな意味でもめそうー。□４．僕がでっかい独り言喋ってるの見て、帰っちゃった人が居たりして…。あの、少年ペーターのままで、いいです……
プロローグ,旅人ニコラス,村人,こんばんは。何か集まりがあるのですか？
プロローグ,旅人ニコラス,村人,■１．だいたい22時以降。更新時間付近も寝坊しなければ。後は鳩でちょくちょく。■２．仮24:00、本25:00希望。多少の前後は大丈夫。■３．個人戦はあまり…。その他はあまりこだわりないわ。□４．こう見えて女なの。名前は事情があって「ニコラス」と名乗ってるわ。よろしくね。
プロローグ,少年ペーター,占い師,旅人さん、こんばんはっ。ニコラスさんって言うんですね、僕もよく間違えられるんです…。人狼がいるかもだから、会議するんだってー。ニコラスさんも食べますか？もぐもぐつ[鶏肉のオーブントースター焼き][オニオンスープ][焦げた卵焼き][ほかほかご飯]
プロローグ,村娘パメラ,狩人,[村娘 パメラはほかほかご飯をぱくぱくぱく]んー、でりぃしゃす！ジンロー？ 新しいすぱげてぃーの名前かな、まっ、おいしければなんでもいいや！え？ カイギ？ とりあえずカイジョーにお菓子持って行ってもいいかな？ もぐもぐもぐ。うまー！
プロローグ,旅人ニコラス,村人,こんばんは。おんなじね。人狼…ですか？最近よく聞きますね。おいしそうなご飯！オニオンスープなんか大好きだわ。いただきます。
プロローグ,村娘パメラ,狩人,■１．基本は夜かな。22時～25時くらいならいると思うよ。きらりん！■２．仮24時、本25時くらいが嬉しいなっ。■３．投票COは複雑だから怖いなっ！ 誰か投票間違ったら…ぶるぶるぶる。個人戦はあんまり好きじゃないかもっ。□４．ペタちゃんがいっぱい食べ物用意してくれてるよっ！ わーい、誰も食べないなら全部食べちゃうぞっ！
プロローグ,旅人ニコラス,村人,卵焼きもこの焦げ具合がおいしいわ…。もぐもぐ。こんばんは、パメラさんっていうのかしら？残念ながら既に食べ始めてるわ。ジンローという名のスパゲティーがあるんですか？
プロローグ,村娘パメラ,狩人,ニコさんも旅人さんなのに、こんな会議に呼び出されて大変だねぇーきっとジンローの最後の調味料についての話し合いだよ！ んー、そういう意味ではカイギも楽しみかなっ。ペタちゃんもニコさんも一緒に食べる？ もぐもぐもぐ。[村娘 パメラはいちごのタルトを差し出した]
プロローグ,羊飼いカタリナ,村人,【食用羊 マトン！　今日がお前の命日だ！！】Σﾒｴｪｪｪｪｪｯ!!!(ωＴ＠[...は美味しそうなジンギスカン鍋を持って宿にやってきた]みんなー、よくわかんないけどとりあえずジンギスカン持ってきたよーーー！！
