プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,青年ヨアヒム,人狼,おはよ
プロローグ,青年ヨアヒム,人狼,ゲルト…僕たちふたりきりみたいだ
プロローグ,青年ヨアヒム,人狼,ひと集めのパフォーマンスは夜になってからしようかな。土曜日だし、皆まだ寝てると思うんだ。このままアダムとイブ五郎として、ひぎゅぅぅこの村はふたりのっひぐっ楽園なのﾞぉﾞぉおん/// -完- 状態にならないようにしないとなー。てことでいってきます！
プロローグ,青年ヨアヒム,人狼,ちらり。ほもぉ営業は終わったけど…あと何したらいいんだろ。【妙案募集中】
プロローグ,村娘パメラ,人狼,謎のぉ〜ふわふわ系村娘がぁ〜あなたのお悩みをまろやかに解決っ！というわけでぇ〜今日もぉ〜お便りが届いてますっ！RN.「ゲルト大好き」さんから、「村に人を集めたいのですが、どうしたらいいでしょう」ということなんですけどぉ〜これはぁ〜、、、村全体でぇ〜RPしてみたらどうでしょうかっ！…えっ？ぱくりぃ〜？何を言ってるのかぁよくぅわからにゃいっ！
プロローグ,青年ヨアヒム,人狼,ぼく｢よあちゃん？どうしたのこんなところで｣ぼく｢…よあのこと、あまえんぼって思ってますか？｣ぎゅっぼく｢そうね。あなたいつもこんなじゃないの｣ぼく｢違うんです！こんなことするのは、お姉様だけなんです！｣ぼく｢えっ…？｣ぼく｢お姉様とこうしてると、なんだか｣ぼく｢だめよ、よあちゃん。それ以上言っては駄目｣ぼく｢お姉様…｣
プロローグ,青年ヨアヒム,人狼,あっぱめら！ちょっとゆり(と見せかけて男の娘なＴＳ)営業してたら…きてくれてたんだね！それはいい案だね！ただ、僕言い換えとかはちょっと苦手かなー。記憶的な意味で。そういうのがなかったらいいんだけど…
プロローグ,青年ヨアヒム,人狼,ね、ぱめら。君は僕の呼び掛けに真っ先に駆けつけてくれたね。これって愛だと思うんだ。イブ五郎と僕だけだったむさい空間に舞い降りた君は、まさに罪作りなりんごちゃんだよ。僕が君のパイ生地になってあげる。りんごな君にお似合いだろう？だからどうか、アフタヌーンティーを共にしてくれないかな？エキサイティングな時間を約束するよ！
プロローグ,青年ヨアヒム,人狼,僕のパイ生地がはち切れ…もとい千切れそうなので、次に来れるのは夜だと思うんだ。どんな村になってるかなあ？**
プロローグ,村娘パメラ,人狼,>>ゲルト大好きさんりんごちゃん？パイ生地？う〜ん、何を言ってるのかぁ〜よくぅ〜わかんにゃい！なんかぁ〜もっとぉ人がぁ集まったらぁ〜うれしいなぁどんどんとぉ〜お便りお待ちしてるよぉ〜
