プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,宿屋の女主人レジーナ,村人,おはよう。朝ごはんだよ。[クロワッサン][牛乳][トマトサラダ][コーヒー][オレンジ]
プロローグ,パン屋オットー,狂人,お盆はパン屋もお休みさ。レジーナのクロワッサンも中々（サクサク）
プロローグ,パン屋オットー,狂人,幽霊なんている訳ないじゃん、みんな大げさだなあ
プロローグ,宿屋の女主人レジーナ,村人,こんにちは。オットーいらっしゃい。お昼ごはんだよ。[パエリア][グレープフルーツジュース][ヨーグルト]
プロローグ,パン屋オットー,狂人,や。ご飯頂いてるよ。レジーナは働き者だな。たまには休憩も必要だよ。はいよ。つ[1～4と書かれたくじ]
プロローグ,宿屋の女主人レジーナ,村人,え、くじ…？では3を。
プロローグ,少女リーザ,村人,ボクもくじ引くの！2がいいの！
プロローグ,少女リーザ,村人,おつかいに行ったらお店のおじちゃんが「リーザは偉いねお駄賃だよ」ってこんな紙をくれたの。食べ物じゃなくてしょんぼりなの。■1.コアタイム■2.仮決定時間・本決定時間■3.やりたいこと・やりたくないこと■4.自己紹介など
プロローグ,パン屋オットー,狂人,3か。[ネズミ花火をレジーナの足元にぽいっ火花を上げてネズミが走り回った！]
プロローグ,少女リーザ,村人,■1.遅いと22時くらいなの。でも昼も来るから不定期なの■2.仮 23:15・本 23:45くらいなの■3.楽しく頑張ってポカポカ殴り愛するの。流行り病とか乱暴な言葉使いとかは悲しくなるからやなの■4.ボク、リーザ！緑チームに入れてもらおうと思ったらこの村緑が足りないの…むしろいないの…求む、緑！なの
プロローグ,パン屋オットー,狂人,リーザこんばんは。回覧板ありがとう。2番はコレ。[リーザの頭に濡れこんにゃくペタリ]ふふっ。涼しくなった？
プロローグ,少女リーザ,村人,オットーさんこんばんはなの！ひゃっ！冷たいの…ひんやりーもったいないから刺身こんにゃくにして晩ご飯にいただくの！さすがオットーさん、一石二鳥なの
プロローグ,パン屋オットー,狂人,俺も書いておこうかな。■1不定期だね。日によっては22:30まで顔出せない時があるな。■2仮2315 本2345かな。余裕あった方が良いね。■3皆で良い村を作っていきたいね。■4幽霊部員ならぬ幽霊パン屋だよ。ふふ、パンを焼かないパン屋は狼…ってね。ん…リーザ、裏に今度アイス食べにおいでって書いてあるよ。良かったじゃないか（なでなで）
プロローグ,宿屋の女主人レジーナ,村人,えっ、ネズミ花火！ぎゃー。労わってたのは言葉だけかいっ。
プロローグ,パン屋オットー,狂人,>>15ちょっと涼しくなっただろ？本当はこっち。つ[線香花火]
